year,ward_no,ward_name,circle,zone,mean_ndvi
2018,11,NAGOLE,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.19672040326865417
2018,10,UPPAL,2-UPPAL,L.B.NAGAR ZONE,0.19872486659618305
2018,GRAMPANCHAYAT PEERZADI GUDA,,GRAMPANCHAYAT PEERZADIGUDA,,0.13736405059473733
2018,KALAVANCHA GRAM PANCHAYATH,,KALAVANCHA GRAMPANCHAYATH,,0.1365763222613108
2018,13,HAYATHNAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.18453021383306822
2018,15,VANASTHALIPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.12351853421141736
2018,26,OLD MALAKPET,6-MALAKPET,CHARMINAR ZONE,0.15539162029336023
2018,17,CHAMPAPET,4-LB. NAGAR,L.B.NAGAR ZONE,0.10484694144077822
2018,39,SANTOSH NAGAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.10563678462163499
2018,66,LUNGER HOUSE,13-KARWAN,KHAIRATHABAD ZONE,0.2249586619034476
2018,112,RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.15815858706686906
2018,128,CHINTAL,26-GAJULARAMARAM,KUKATPALLY ZONE,0.2137068214662171
2018,126,JAGADGIRI GUTTA,26-GAJULARAMARAM,KUKATPALLY ZONE,0.13238792264473806
2018,129,SURARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.17809069748009612
2018,133,MACHABOLARUM,27-ALWAL,KUKATPALLY ZONE,0.1977028495162159
2018,138,MOULA-ALI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.12736437902351208
2018,107,MADHAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.14666552602570798
2018,OU,,OU,,0.2913705675066265
2018,149,BEGUMPET,30-BEGUMPET,SECUNDERABAD ZONE,0.17483608789862048
2018,135,VENKATAPURAM,27-ALWAL,KUKATPALLY ZONE,0.1551089548854089
2018,123,HYDER NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.13698630882652787
2018,122,VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.10502996575074032
2018,113,PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.20839954919279163
2018,108,MIYAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.17860815789194434
2018,41,KANCHANBAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.2411051786582432
2018,7,CHILUKA NAGAR,2-UPPAL,L.B.NAGAR ZONE,0.18474891027679155
2018,9,RAMANTHAPUR,2-UPPAL,L.B.NAGAR ZONE,0.18179512386204688
2018,25,MOOSARAMBAGH,6-MALAKPET,CHARMINAR ZONE,0.1336801696828949
2018,BANDLA GUDA,,BANDLAGUDA,,0.182370686951893
2018,28,AZAMPURA,6-MALAKPET,CHARMINAR ZONE,0.10574093633382572
2018,56,KISHAN BAGH,10-FALAKNUMA,CHARMINAR ZONE,0.14626849139397274
2018,52,PURANAPOOL,9-CHARMINAR,CHARMINAR ZONE,0.07587805709108819
2018,59,MAILARDEVPALLY,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.18364030397245035
2018,46,FALAKNUMA,10-FALAKNUMA,CHARMINAR ZONE,0.10866047757591485
2018,61,ATTAPUR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.14831834205642752
2018,60,RAJENDRANAGAR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2217229144447698
2018,49,GANSIBAZAR,9-CHARMINAR,CHARMINAR ZONE,0.09421498762370345
2018,33,MOGHALPURA,9-CHARMINAR,CHARMINAR ZONE,0.07524194481510456
