year,ward_no,ward_name,mean_tree_prob
2018,50,BEGUM BAZAR,0.03915631616472883
2018,78,GUNFOUNDRY(Abids),0.04014122937436534
2018,65,KARWAN,0.04184166631071302
2018,2,DR.A.S.RAO NAGAR,0.06609261842179909
2018,4,MEERPET H.B.COLONY,0.10275392631349875
2018,1,KAPRA,0.04780083796115491
2018,94,SHAIKPET,0.04493515256860344
2018,64,DATTATHREYA NAGAR,0.030864258463643546
2018,69,NANALNAGAR,0.1239864656712951
2019,127,RANGAREDDY NAGAR,0.0632335784404457
2019,119,OLD BOWENPALLY,0.045351213553604955
2019,145,SEETHAPHALMANDI,0.03011764287385051
2019,146,BOUDHA NAGAR,0.03208558743290179
2019,147,BANSILALPET,0.03538914957630891
2019,144,METTUGUDA,0.06176787856830877
2019,148,RAMGOPALPET,0.03397859130718573
2019,150,MONDA  MARKET,0.032580125358850784
2019,136,NEREDMET,0.045222616192641764
2019,141,GOUTHAM NAGAR,0.033534846737231526
2019,140,MALKAJGIRI,0.03400530961822094
2019,139,EAST ANAND BAGH,0.08051420072854287
2019,142,ADDAGUTTA,0.04652234972784935
2019,137,VINAYAK NAGAR,0.03609208678352479
2019,134,ALWAL,0.04047259454899445
2019,132,JEEDIMETLA,0.07067106797162791
2019,CONTONMENT AREA,,0.09492804522963602
2019,120,BALA NAGAR,0.19139121891733912
2019,130,SUBHASH NAGAR,0.04354781504405945
2019,131,QUTHBULLAPUR,0.11256581142996315
2019,121,KUKATPALLY,0.03560571212630578
2019,125,GAJULARAMARAM,0.05579900028130454
2019,124,ALLYWN COLONY,0.0383937378302414
2019,114,K.P.H.B.COLONY,0.05848796638860702
2019,116,ALLAPUR,0.050018322026609566
2019,115,BALAJI NAGAR,0.15416111228749663
2019,117,MOOSAPET,0.03504168232056354
2019,105,GACHIBOWLI,0.11942001825815092
2019,110,CHANDANAGAR,0.06501667281974516
2019,111,BHARATHI NAGAR,0.03732066370303868
2019,106,SERILINGAMPALLY,0.07853762710069788
2019,104,KONDAPUR,0.053579117323667456
2019,109,HAFEEZPET,0.03664471240822382
2019,118,FATEH NAGAR,0.04035340573879135
2019,143,TARNAKA,0.0596751025981038
2019,8,HABSIGUDA,0.12126447049304358
2019,40,RIYASATNAGAR,0.03550566445880731
2019,36,LALITHABAGH,0.03482516192718472
2019,34,TALABCHANCHALAM,0.031437774899767616
2019,22,CHAITHANYAPURI,0.04954746502094904
2019,37,KURMAGUDA,0.03105001495084147
2019,31,REIN BAZAR,0.03039526989477062
2019,29,CHAWANI,0.03488483050277496
2019,38,I.S.SADAN,0.03748714222810905
2019,18,LINGOJIGUDA,0.032917900477077766
2019,16,HASTHINAPURAM,0.02941702708246247
2019,20,R.K.PURAM,0.03150148691643733
2019,19,SAROORNAGAR,0.03552938382115729
2019,14,B.N.REDDY NAGAR,0.06373354385978541
2019,12,MANSOORABAD,0.09245544652940091
2019,21,KOTHAPET,0.03797412064513754
2019,11,NAGOLE,0.12562683135011996
2019,10,UPPAL,0.06558855664605313
2019,GRAMPANCHAYAT PEERZADI GUDA,,0.030382985223807234
2019,KALAVANCHA GRAM PANCHAYATH,,0.028814848467524225
2019,13,HAYATHNAGAR,0.04949576749894936
2019,15,VANASTHALIPURAM,0.03775420257923752
2019,26,OLD MALAKPET,0.043648064412517985
2019,17,CHAMPAPET,0.03048689254877286
2019,39,SANTOSH NAGAR,0.036455025540883694
2019,66,LUNGER HOUSE,0.13527341674807833
2019,112,RAMACHANDRAPURAM,0.04864690245258125
2019,128,CHINTAL,0.16475127373926998
2019,126,JAGADGIRI GUTTA,0.04776628922473904
2019,129,SURARAM,0.15328188111930233
2019,133,MACHABOLARUM,0.06565138438939809
2019,138,MOULA-ALI,0.03273057739173955
2019,107,MADHAPUR,0.04745775084680781
2019,OU,,0.22256691529953337
2019,149,BEGUMPET,0.07177616694887355
2019,135,VENKATAPURAM,0.03459940164170011
2019,123,HYDER NAGAR,0.051996059938268564
2019,122,VIVEKANANDA NAGAR COLONY,0.03142804929196635
2019,113,PATANCHERUVU,0.08712748631714602
2019,108,MIYAPUR,0.08243022791835353
2019,41,KANCHANBAGH,0.1040645132263916
2019,7,CHILUKA NAGAR,0.07257280312699632
2019,9,RAMANTHAPUR,0.07045746074027752
2019,25,MOOSARAMBAGH,0.038099097504703444
2019,BANDLA GUDA,,0.04698418005671409
2019,28,AZAMPURA,0.03628990090901781
2019,56,KISHAN BAGH,0.04803338218674899
2019,52,PURANAPOOL,0.03217119747074784
2019,59,MAILARDEVPALLY,0.08985491404561449
2019,46,FALAKNUMA,0.04014671487167148
2019,61,ATTAPUR,0.044400471855712165
2019,60,RAJENDRANAGAR,0.12009814535613092
2019,49,GANSIBAZAR,0.03805420309666603
2019,33,MOGHALPURA,0.029778858454512353
2019,47,NAWABSAHEBKUNTA,0.03572770409739795
2019,58,SHASTRIPURAM,0.033730780436710704
2019,54,JAHANUMA,0.03195623140694259
2019,48,SHALIBANDA,0.03208617168952979
2019,53,DOODBOWLI,0.032840724364186884
2019,55,RAMNASTPURA,0.11309450200344388
2019,43,CHANDRAYANGUTTA,0.0462402311822342
2019,44,UPPUGUDA,0.03452629035343564
2019,35,GOWLIPURA,0.03085891209007892
2019,30,DABEERPURA,0.036412277286272096
2019,32,PATHER GATTI,0.035468899272032395
2019,23,GADDIANNARAM,0.03058009310313304
2019,24,SAIDABAD,0.03359589639025034
2019,27,AKBERBAGH,0.04544254590188231
2019,45,JANGAMMET,0.038388228677518
2019,42,BARKAS,0.057950577206715044
2019,57,SULEMAN NAGAR,0.06471214282723284
2019,74,AHMED NAGAR,0.07872569157928405
2019,92,VENKATESHWARA COLONY,0.13549049666691382
